Carrer / Calle;OBJECTID;Número Finca;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
PALLETER;74859;17ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.38653425669172387, 39.46931326560038], ""type"": ""Point""}";39.46931326560038, -0.38653425669172387
CAMPOAMOR;74863;94;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.34261604090585174, 39.46955338573919], ""type"": ""Point""}";39.46955338573919, -0.34261604090585174
CAVITE;74866;183;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.32655255047683973, 39.483895528944274], ""type"": ""Point""}";39.483895528944274, -0.32655255047683973
SAN JOSE DE LA MONTAaA;74870;14dup;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3934696832666704, 39.47447323686094], ""type"": ""Point""}";39.47447323686094, -0.3934696832666704
EMILIO BARO;74874;23;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3619969498134578, 39.48561912239063], ""type"": ""Point""}";39.48561912239063, -0.3619969498134578
FELIX PIZCUETA;74878;18;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3726771334905068, 39.46632791838384], ""type"": ""Point""}";39.46632791838384, -0.3726771334905068
ISMAEL BLAT (PINTOR);74883;10ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.39061398531071373, 39.43251645929714], ""type"": ""Point""}";39.43251645929714, -0.39061398531071373
POETA SERRANO CLAVERO;74885;39;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.38859903852237354, 39.493022395784145], ""type"": ""Point""}";39.493022395784145, -0.38859903852237354
FLORESTA;74887;2ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.34944822100684586, 39.465206567448675], ""type"": ""Point""}";39.465206567448675, -0.34944822100684586
ANGEL GUIMERA;74889;14;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3856380077157656, 39.470274508488515], ""type"": ""Point""}";39.470274508488515, -0.3856380077157656
(Sin Asignar);74891;S/N;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.38068306103959343, 39.460976948195956], ""type"": ""Point""}";39.460976948195956, -0.38068306103959343
MARIE CURIE (CIENTsFICA);74896;1;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3772181393379713, 39.49112568692037], ""type"": ""Point""}";39.49112568692037, -0.3772181393379713
MAXIMILIANO THOUS;74899;32;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.37335889775671793, 39.48746314641581], ""type"": ""Point""}";39.48746314641581, -0.37335889775671793
MAXIMILIANO THOUS;74901;29;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3731758346322599, 39.487602905241864], ""type"": ""Point""}";39.487602905241864, -0.3731758346322599
