DISTRICTE;BARRI;GRUP;HABITANTS GRUP;HABITANTS;HABITANTS 20-70;TOTAL;LLIURES;ORA;GUALS;PÀRQUINGS;SOLARS;ALTRES;TURISMES;PLACES/HABITANTS;PLACES/HABITANTS 20-70;PLACES/TURISMES;HABITANTS/TURISMES;HABITANTS 20-70/TURISMES;HABITANTS/HABITANTS 20-70
POBLATS DE L'OEST;Districte;30 -34;869;;;;;;;;;;;;;;;;
EXTRAMURS;Districte;35 - 39;3325;;;;;;;;;;;;;;;;
QUATRE CARRERES;Districte;35 - 39;5245;;;;;;;;;;;;;;;;
BENIMACLET;Districte;35 - 39;2098;;;;;;;;;;;;;;;;
RASCANYA;Districte;35 - 39;3903;;;;;;;;;;;;;;;;
CIUTAT VELLA;Districte;40 - 44;2323;;;;;;;;;;;;;;;;
L'EIXAMPLE;Districte;40 - 44;3382;;;;;;;;;;;;;;;;
CAMPANAR;Districte;40 - 44;3337;;;;;;;;;;;;;;;;
JESUS;Districte;40 - 44;4562;;;;;;;;;;;;;;;;
POBLATS MARITIMS;Districte;40 - 44;4509;;;;;;;;;;;;;;;;
ALGIROS;Districte;40 - 44;2552;;;;;;;;;;;;;;;;
RASCANYA;Districte;40 - 44;4918;;;;;;;;;;;;;;;;
POBLATS DEL SUD;Districte;40 - 44;1734;;;;;;;;;;;;;;;;
CIUTAT VELLA;Districte;45 - 49;2264;;;;;;;;;;;;;;;;
POBLATS DEL NORD;Districte;45 - 49;563;;;;;;;;;;;;;;;;
POBLATS DE L'OEST;Districte;45 - 49;1198;;;;;;;;;;;;;;;;
L'EIXAMPLE;Districte;50 - 54;3375;;;;;;;;;;;;;;;;
L'OLIVERETA;Districte;50 - 54;3919;;;;;;;;;;;;;;;;
PATRAIX;Districte;50 - 54;4871;;;;;;;;;;;;;;;;
POBLATS MARITIMS;Districte;50 - 54;4469;;;;;;;;;;;;;;;;
CAMINS AL GRAU;Districte;50 - 54;5478;;;;;;;;;;;;;;;;
ALGIROS;Districte;50 - 54;2471;;;;;;;;;;;;;;;;
BENICALAP;Districte;50 - 54;3701;;;;;;;;;;;;;;;;
POBLATS DEL NORD;Districte;50 - 54;528;;;;;;;;;;;;;;;;
L'EIXAMPLE;Districte;55 - 59;2947;;;;;;;;;;;;;;;;
EXTRAMURS;Districte;55 - 59;3484;;;;;;;;;;;;;;;;
CAMPANAR;Districte;55 - 59;2427;;;;;;;;;;;;;;;;
LA SAIDIA;Districte;55 - 59;3264;;;;;;;;;;;;;;;;
L'OLIVERETA;Districte;55 - 59;3535;;;;;;;;;;;;;;;;
PATRAIX;Districte;55 - 59;4530;;;;;;;;;;;;;;;;
JESUS;Districte;55 - 59;3878;;;;;;;;;;;;;;;;
POBLATS MARITIMS;Districte;55 - 59;4064;;;;;;;;;;;;;;;;
CAMINS AL GRAU;Districte;55 - 59;4511;;;;;;;;;;;;;;;;
RASCANYA;Districte;55 - 59;3311;;;;;;;;;;;;;;;;
POBLATS DE L'OEST;Districte;55 - 59;939;;;;;;;;;;;;;;;;
POBLATS DEL SUD;Districte;55 - 59;1497;;;;;;;;;;;;;;;;
L'EIXAMPLE;Districte;60 - 64;2556;;;;;;;;;;;;;;;;
LA SAIDIA;Districte;60 - 64;2860;;;;;;;;;;;;;;;;
EL PLA DEL REAL;Districte;60 - 64;1807;;;;;;;;;;;;;;;;
L'OLIVERETA;Districte;60 - 64;2646;;;;;;;;;;;;;;;;
PATRAIX;Districte;60 - 64;3894;;;;;;;;;;;;;;;;
JESUS;Districte;60 - 64;3476;;;;;;;;;;;;;;;;
QUATRE CARRERES;Districte;60 - 64;4132;;;;;;;;;;;;;;;;
POBLATS MARITIMS;Districte;60 - 64;3583;;;;;;;;;;;;;;;;
EXTRAMURS;Districte;65 - 69;2686;;;;;;;;;;;;;;;;
EL PLA DEL REAL;Districte;65 - 69;1783;;;;;;;;;;;;;;;;
JESUS;Districte;65 - 69;3017;;;;;;;;;;;;;;;;
CAMINS AL GRAU;Districte;65 - 69;3218;;;;;;;;;;;;;;;;
BENICALAP;Districte;65 - 69;2361;;;;;;;;;;;;;;;;
CAMPANAR;Districte;70 - 74;2135;;;;;;;;;;;;;;;;
L'OLIVERETA;Districte;70 - 74;2372;;;;;;;;;;;;;;;;
PATRAIX;Districte;70 - 74;2959;;;;;;;;;;;;;;;;
JESUS;Districte;70 - 74;2590;;;;;;;;;;;;;;;;
POBLATS MARITIMS;Districte;70 - 74;2713;;;;;;;;;;;;;;;;
CAMINS AL GRAU;Districte;70 - 74;2859;;;;;;;;;;;;;;;;
RASCANYA;Districte;70 - 74;2323;;;;;;;;;;;;;;;;
POBLATS DEL NORD;Districte;70 - 74;326;;;;;;;;;;;;;;;;
POBLATS DE L'OEST;Districte;70 - 74;685;;;;;;;;;;;;;;;;
POBLATS DEL SUD;Districte;70 - 74;1005;;;;;;;;;;;;;;;;
L'EIXAMPLE;Districte;75 - 79;1800;;;;;;;;;;;;;;;;
CAMPANAR;Districte;75 - 79;1433;;;;;;;;;;;;;;;;
L'OLIVERETA;Districte;75 - 79;2164;;;;;;;;;;;;;;;;
POBLATS MARITIMS;Districte;75 - 79;2009;;;;;;;;;;;;;;;;
BENIMACLET;Districte;75 - 79;1087;;;;;;;;;;;;;;;;
RASCANYA;Districte;75 - 79;1795;;;;;;;;;;;;;;;;
L'EIXAMPLE;Districte;80 - 84;1495;;;;;;;;;;;;;;;;
EXTRAMURS;Districte;80 - 84;1815;;;;;;;;;;;;;;;;
PATRAIX;Districte;80 - 84;1591;;;;;;;;;;;;;;;;
QUATRE CARRERES;Districte;80 - 84;2401;;;;;;;;;;;;;;;;
POBLATS MARITIMS;Districte;80 - 84;1756;;;;;;;;;;;;;;;;
CAMINS AL GRAU;Districte;80 - 84;1789;;;;;;;;;;;;;;;;
BENIMACLET;Districte;80 - 84;869;;;;;;;;;;;;;;;;
POBLATS DEL NORD;Districte;80 - 84;207;;;;;;;;;;;;;;;;
L'OLIVERETA;Districte;85 - 89;1315;;;;;;;;;;;;;;;;
CAMINS AL GRAU;Districte;85 - 89;1097;;;;;;;;;;;;;;;;
BENICALAP;Districte;85 - 89;711;;;;;;;;;;;;;;;;
POBLATS DEL NORD;Districte;85 - 89;145;;;;;;;;;;;;;;;;
CIUTAT VELLA;Districte;? 90;452;;;;;;;;;;;;;;;;
CAMPANAR;Districte;? 90;334;;;;;;;;;;;;;;;;
EL PLA DEL REAL;Districte;? 90;420;;;;;;;;;;;;;;;;
L'OLIVERETA;Districte;? 90;672;;;;;;;;;;;;;;;;
PATRAIX;Districte;? 90;586;;;;;;;;;;;;;;;;
CAMINS AL GRAU;Districte;? 90;600;;;;;;;;;;;;;;;;
