Tipus / Tipo;OBJECTID;Nombre Places / Número Plazas;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
A - Horquilla;269094;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3965403401347727, 39.46841428633193], ""type"": ""Point""}";39.46841428633193, -0.3965403401347727
A - Horquilla;269099;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3944716594920549, 39.4728057603923], ""type"": ""Point""}";39.4728057603923, -0.3944716594920549
A - Horquilla;269101;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.39401909841840854, 39.47219042728333], ""type"": ""Point""}";39.47219042728333, -0.39401909841840854
A - Horquilla;269105;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3947827232628013, 39.468006194097036], ""type"": ""Point""}";39.468006194097036, -0.3947827232628013
A - Horquilla;269107;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3918154710848137, 39.46915004516557], ""type"": ""Point""}";39.46915004516557, -0.3918154710848137
A - Horquilla;269108;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.39189291403825194, 39.468904644237305], ""type"": ""Point""}";39.468904644237305, -0.39189291403825194
A - Horquilla;269109;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3915004723008415, 39.46873590263299], ""type"": ""Point""}";39.46873590263299, -0.3915004723008415
A - Horquilla;269112;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.37406525357618897, 39.49393577719314], ""type"": ""Point""}";39.49393577719314, -0.37406525357618897
A - Horquilla;269126;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.37074205470108884, 39.496659106569524], ""type"": ""Point""}";39.496659106569524, -0.37074205470108884
A - Horquilla;269127;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.350307008488117, 39.463620167146864], ""type"": ""Point""}";39.463620167146864, -0.350307008488117
A - Horquilla;269135;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.38163641260062553, 39.449283005792374], ""type"": ""Point""}";39.449283005792374, -0.38163641260062553
A - Horquilla;269137;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3803260404440859, 39.449125354942204], ""type"": ""Point""}";39.449125354942204, -0.3803260404440859
A - Horquilla;269138;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3799738277473888, 39.44908387597008], ""type"": ""Point""}";39.44908387597008, -0.3799738277473888
A - Horquilla;269140;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3765935108280673, 39.44951878773894], ""type"": ""Point""}";39.44951878773894, -0.3765935108280673
A - Horquilla;269141;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3799543289603414, 39.44985321373238], ""type"": ""Point""}";39.44985321373238, -0.3799543289603414
A - Horquilla;269143;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.38081485283485833, 39.4501491438546], ""type"": ""Point""}";39.4501491438546, -0.38081485283485833
A - Horquilla;269145;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3769942556672953, 39.44872105616943], ""type"": ""Point""}";39.44872105616943, -0.3769942556672953
A - Horquilla;269146;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3784535463949734, 39.451462699377096], ""type"": ""Point""}";39.451462699377096, -0.3784535463949734
A - Horquilla;269150;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.37808895912515794, 39.45268995416798], ""type"": ""Point""}";39.45268995416798, -0.37808895912515794
A - Horquilla;269153;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3772248602710567, 39.452583441593845], ""type"": ""Point""}";39.452583441593845, -0.3772248602710567
A - Horquilla;269154;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.377249570112086, 39.45280305767148], ""type"": ""Point""}";39.45280305767148, -0.377249570112086
A - Horquilla;269155;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3775923420105405, 39.45283026028638], ""type"": ""Point""}";39.45283026028638, -0.3775923420105405
A - Horquilla;269160;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.36201376580043637, 39.460919086750316], ""type"": ""Point""}";39.460919086750316, -0.36201376580043637
A - Horquilla;269167;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.4017031440448333, 39.483568019098776], ""type"": ""Point""}";39.483568019098776, -0.4017031440448333
A - Horquilla;269168;8;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.40059833481744245, 39.483655920346735], ""type"": ""Point""}";39.483655920346735, -0.40059833481744245
A - Horquilla;269169;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.4002052659597772, 39.48388286048992], ""type"": ""Point""}";39.48388286048992, -0.4002052659597772
A - Horquilla;269171;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3996886363205402, 39.48440957728576], ""type"": ""Point""}";39.48440957728576, -0.3996886363205402
A - Horquilla;269173;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.39958080830843423, 39.48415716976628], ""type"": ""Point""}";39.48415716976628, -0.39958080830843423
A - Horquilla;269176;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.39875071158790676, 39.48451620379345], ""type"": ""Point""}";39.48451620379345, -0.39875071158790676
