gid;Número Placa;Cod. Via / Cod. Vía;Portal;Data Alta / Fecha Alta;objectid;Nombre Places / Numero Plazas;Cod. Activitat / Cod. Actividad;Carrer / Calle;NUM_PLAZAS_TRIB;METROS_AUT ;geo_shape;geo_point_2d
97908;X004412;17160;76;19941005;;0;CO;CARRER DEMOCRÀCIA 76;3;3.0;"{""coordinates"": [-0.40262850046814896, 39.47279399956784], ""type"": ""Point""}";39.47279399956784, -0.40262850046814896
97911;X004417;62610;136;19770101;;0;RE;AVINGUDA CONSTITUCIÓ 136;23;3.0;"{""coordinates"": [-0.37533600030060066, 39.4899299999629], ""type"": ""Point""}";39.4899299999629, -0.37533600030060066
97912;X004418;30660;51;19941007;;0;CO;CARRER FONTANARS DELS ALFORINS 51;62;3.0;"{""coordinates"": [-0.39473999969158136, 39.46026599978543], ""type"": ""Point""}";39.46026599978543, -0.39473999969158136
97916;X004419;58890;6;19970414;;99;CO;CARRER PINTOR MONLEÓN 6;99;6.0;"{""coordinates"": [-0.35822699954422826, 39.4654500000606], ""type"": ""Point""}";39.4654500000606, -0.35822699954422826
97917;X004422;37470;139;19941007;;0;RE;CARRER ILLES CANÀRIES 139;16;3.0;"{""coordinates"": [-0.3487630366209904, 39.46446302164062], ""type"": ""Point""}";39.46446302164062, -0.3487630366209904
97920;X004425;8130;46;19941006;;0;RE;CARRER BAIX DE LA MAR 46;2;3.0;"{""coordinates"": [-0.3330944994987074, 39.450626999725834], ""type"": ""Point""}";39.450626999725834, -0.3330944994987074
97926;X004429;68310;8;19941007;;0;RE;CARRER SANT JOAN DE LA CREU 8;3;3.0;"{""coordinates"": [-0.37320299998960604, 39.48424199998598], ""type"": ""Point""}";39.48424199998598, -0.37320299998960604
97927;X004437;58560;5;19941006;;0;RE;CARRER PINTOR FERRER CALATAYUD 5;5;4.0;"{""coordinates"": [-0.3384584998420377, 39.46791600034152], ""type"": ""Point""}";39.46791600034152, -0.3384584998420377
97929;X004436;31920;62;19770101;;5;CO;CARRERA FONTETA DE SANT LLUÍS 62;5;3.0;"{""coordinates"": [-0.37164600057833785, 39.4541999998969], ""type"": ""Point""}";39.4541999998969, -0.37164600057833785
97934;X004444;81216;7;19941007;;0;RE;CARRER BERNAT FENOLLAR 7;60;3.5;"{""coordinates"": [-0.34756120827906595, 39.47729399979134], ""type"": ""Point""}";39.47729399979134, -0.34756120827906595
97937;X004448;26460;34;19941006;;0;RE;AVINGUDA EQUADOR 34;9;3.5;"{""coordinates"": [-0.38814300045062977, 39.49331400034206], ""type"": ""Point""}";39.49331400034206, -0.38814300045062977
97943;X004456;69180;9;19941125;;0;RE;CARRER SANT ROC 9;1;3.0;"{""coordinates"": [-0.3963420002501379, 39.49281899964242], ""type"": ""Point""}";39.49281899964242, -0.3963420002501379
97953;X004475;65070;19;19941227;;9;RE;CARRER RODRÍGUEZ DE CEPEDA 19;9;3.0;"{""coordinates"": [-0.3538124997808551, 39.46893300002394], ""type"": ""Point""}";39.46893300002394, -0.3538124997808551
97955;X004473;57630;109;19941230;;0;RE;AVINGUDA PERIS I VALERO 109;22;3.5;"{""coordinates"": [-0.36988649973766397, 39.45957300022692], ""type"": ""Point""}";39.45957300022692, -0.36988649973766397
97962;X004482;50550;12;19941125;;5;RE;CARRER MOSSÉN CUENCA 12;5;3.0;"{""coordinates"": [-0.3401819997685967, 39.422078999800355], ""type"": ""Point""}";39.422078999800355, -0.3401819997685967
97966;X004481;62610;305;19941108;;0;RE;AVINGUDA CONSTITUCIÓ 305;3;3.5;"{""coordinates"": [-0.3688244995294127, 39.502115999565625], ""type"": ""Point""}";39.502115999565625, -0.3688244995294127
97968;X004485;40170;5;19941104;;0;RE;CARRER JUAN RAMON JIMÉNEZ 5;104;6.5;"{""coordinates"": [-0.3765464999088346, 39.4557839999603], ""type"": ""Point""}";39.4557839999603, -0.3765464999088346
97971;X004490;81306;3;19941006;;0;RE;CARRER DOCTOR GARCIA DONATO 3;57;3.5;"{""coordinates"": [-0.34768572145278037, 39.476650268608736], ""type"": ""Point""}";39.476650268608736, -0.34768572145278037
97974;X004493;67380;36;19941115;;0;RE;CARRER SANT BRU 36;32;4.0;"{""coordinates"": [-0.3719339998389278, 39.49011900021355], ""type"": ""Point""}";39.49011900021355, -0.3719339998389278
97975;X004494;32790;47;19950105;;0;RE;AVINGUDA GASPAR AGUILAR 47;3;3.0;"{""coordinates"": [-0.39042450048616917, 39.456044999630144], ""type"": ""Point""}";39.456044999630144, -0.39042450048616917
97976;X004495;38190;44;19950104;;0;RE;CARRER JERONI DE MONTSORIU 44;23;3.0;"{""coordinates"": [-0.3402139865825944, 39.465335228903264], ""type"": ""Point""}";39.465335228903264, -0.3402139865825944
97977;X004496;42180;23;19950105;;0;RE;CARRER LLORENÇ SALOM 23;7;3.0;"{""coordinates"": [-0.38600384155770623, 39.457319211033166], ""type"": ""Point""}";39.457319211033166, -0.38600384155770623
97978;X004499;64710;16;19950105;;0;CO;CARRER RIU SEGRE 16;3;3.0;"{""coordinates"": [-0.3825995635191541, 39.49593071984413], ""type"": ""Point""}";39.49593071984413, -0.3825995635191541
97985;X004505;81358;4;19950124;;0;RE;PLAÇA URBANISTA ANTONINO SANCHO 4;7;3.0;"{""coordinates"": [-0.3546179994618201, 39.48669900040247], ""type"": ""Point""}";39.48669900040247, -0.3546179994618201
97987;X004506;70530;98;19950123;;0;CO;CARRER SANT DOMÉNEC SAVIO 98;7;4.0;"{""coordinates"": [-0.376105499877619, 39.498165000379934], ""type"": ""Point""}";39.498165000379934, -0.376105499877619
97988;X004507;33900;22;19941007;;0;RE;AVINGUDA GIORGETA 22;13;3.0;"{""coordinates"": [-0.38521800011344404, 39.45986099998734], ""type"": ""Point""}";39.45986099998734, -0.38521800011344404
97989;X004508;63780;14;19880229;;0;CO;CARRER REUS 14;42;9.0;"{""coordinates"": [-0.38373299955188367, 39.48547499973086], ""type"": ""Point""}";39.48547499973086, -0.38373299955188367
