OBJECTID;Nombre Places / Número Plazas;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
172636;2;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3934395770509625, 39.461999692398344], ""type"": ""Point""}";39.461999692398344, -0.3934395770509625
172639;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.39324027106977516, 39.4650079907993], ""type"": ""Point""}";39.4650079907993, -0.39324027106977516
172640;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.392474065824756, 39.46641370999082], ""type"": ""Point""}";39.46641370999082, -0.392474065824756
172643;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.38938624646069103, 39.46433591559527], ""type"": ""Point""}";39.46433591559527, -0.38938624646069103
172650;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3864726580770152, 39.46393503168589], ""type"": ""Point""}";39.46393503168589, -0.3864726580770152
172656;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.38673096415819025, 39.46980524606143], ""type"": ""Point""}";39.46980524606143, -0.38673096415819025
172664;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3353940723984725, 39.476069966183005], ""type"": ""Point""}";39.476069966183005, -0.3353940723984725
172665;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3348545083339806, 39.475256211690954], ""type"": ""Point""}";39.475256211690954, -0.3348545083339806
172667;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3350816495212502, 39.471270478971306], ""type"": ""Point""}";39.471270478971306, -0.3350816495212502
172672;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.34379895488127765, 39.47419420671151], ""type"": ""Point""}";39.47419420671151, -0.34379895488127765
172674;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3383151795991637, 39.47292317026683], ""type"": ""Point""}";39.47292317026683, -0.3383151795991637
172679;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3393689900213926, 39.471875154277825], ""type"": ""Point""}";39.471875154277825, -0.3393689900213926
172681;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.34838892283157546, 39.47598818215292], ""type"": ""Point""}";39.47598818215292, -0.34838892283157546
172683;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.2768053512483198, 39.27994175859112], ""type"": ""Point""}";39.27994175859112, -0.2768053512483198
172684;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3236051957866566, 39.349237246070835], ""type"": ""Point""}";39.349237246070835, -0.3236051957866566
172695;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.34050509787162053, 39.42159290502905], ""type"": ""Point""}";39.42159290502905, -0.34050509787162053
172698;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.35087221960599774, 39.466074861189426], ""type"": ""Point""}";39.466074861189426, -0.35087221960599774
172702;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3945162328442861, 39.48281463222028], ""type"": ""Point""}";39.48281463222028, -0.3945162328442861
172704;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.38932559065612643, 39.47083034363344], ""type"": ""Point""}";39.47083034363344, -0.38932559065612643
172705;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3864639773823198, 39.47150779900292], ""type"": ""Point""}";39.47150779900292, -0.3864639773823198
172706;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.39185920725388135, 39.472033181950565], ""type"": ""Point""}";39.472033181950565, -0.39185920725388135
172707;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3905315817005019, 39.47209244831255], ""type"": ""Point""}";39.47209244831255, -0.3905315817005019
172708;2;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3915333541980449, 39.473762470550504], ""type"": ""Point""}";39.473762470550504, -0.3915333541980449
172714;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.39006633315804884, 39.47659627064355], ""type"": ""Point""}";39.47659627064355, -0.39006633315804884
172716;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3910369578083369, 39.475842434658496], ""type"": ""Point""}";39.475842434658496, -0.3910369578083369
172718;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.38315270255730693, 39.47956544530393], ""type"": ""Point""}";39.47956544530393, -0.38315270255730693
172719;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3845342605156992, 39.48208536382804], ""type"": ""Point""}";39.48208536382804, -0.3845342605156992
172720;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3844529047542625, 39.48197125605588], ""type"": ""Point""}";39.48197125605588, -0.3844529047542625
172721;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3865282620027057, 39.48209597596255], ""type"": ""Point""}";39.48209597596255, -0.3865282620027057
172725;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3553084304938969, 39.4630136690409], ""type"": ""Point""}";39.4630136690409, -0.3553084304938969
172726;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3546392236260302, 39.46457180259547], ""type"": ""Point""}";39.46457180259547, -0.3546392236260302
172732;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.35277211703677414, 39.46671106690571], ""type"": ""Point""}";39.46671106690571, -0.35277211703677414
