Carrer / Calle;OBJECTID;Nombre Places / Número Plazas;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
VALDELINARES;257129;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3960721743758897, 39.48095473102524], ""type"": ""Point""}";39.48095473102524, -0.3960721743758897
BLASCO IBAtEZ;257132;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3505257909587284, 39.47434252877583], ""type"": ""Point""}";39.47434252877583, -0.3505257909587284
LIRIO;257136;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.33833370876081115, 39.45902818468153], ""type"": ""Point""}";39.45902818468153, -0.33833370876081115
ISLAS CANARIAS;257139;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3385892156564673, 39.461387294514765], ""type"": ""Point""}";39.461387294514765, -0.3385892156564673
ISAAC PERAL;257140;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3390336230024975, 39.46105795789119], ""type"": ""Point""}";39.46105795789119, -0.3390336230024975
PADRE PORTA;257141;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3355411801538211, 39.46027768046409], ""type"": ""Point""}";39.46027768046409, -0.3355411801538211
BLASCO IBAtEZ;257145;12;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36298898654120365, 39.47803047728457], ""type"": ""Point""}";39.47803047728457, -0.36298898654120365
JUAN BAUTISTA VIVES;257146;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3972669129330342, 39.471124218227196], ""type"": ""Point""}";39.471124218227196, -0.3972669129330342
FRANCIA;257148;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.33279463229472583, 39.458778629933065], ""type"": ""Point""}";39.458778629933065, -0.33279463229472583
DOCTOR GOMEZ FERRER;257149;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3598270991761177, 39.48129564458259], ""type"": ""Point""}";39.48129564458259, -0.3598270991761177
